source_code	work_title	creator	source_path	source_sha256	episode_or_line_scope	sample_role	observed_functions	texture_notes	limitations
P3	식사하고 가세요!	인기영	/Users/a2501/Documents/Codex/2026-05-22/drive/실물원고_레퍼/02_작가별/인기영/식사하고 가세요!_인기영_합본.txt	d85ba55bdcdb6e85c04416f9394149840ab439dff7397541356e9309819e6eec	Board 000 L1-57; 001 L58-336; 004 L811-1027	opening	미각·후각 상실 요리사가 게임에서 감각을 되찾는 훅으로 직업적 결핍을 즉시 명료화한다	병원 이후의 무기력과 게임 속 조리 감각을 대비해 첫 클릭을 만든다	VR 게임과 업적 UI는 기능이 아니라 이 작품의 고유 표면이다
P3	식사하고 가세요!	인기영	/Users/a2501/Documents/Codex/2026-05-22/drive/실물원고_레퍼/02_작가별/인기영/식사하고 가세요!_인기영_합본.txt	d85ba55bdcdb6e85c04416f9394149840ab439dff7397541356e9309819e6eec	Board 013 L2617-2841; 020 L3966-4155	first_payoff	식재료 발견과 장인 제작을 퀘스트·명성의 첫 환전으로 바꾼다	요리 성공 뒤 즉시 열리는 새 의뢰와 동료 접점이 경쾌하다	호의적 인연과 보상이 누적되면 우연한 확장처럼 보일 수 있다
P3	식사하고 가세요!	인기영	/Users/a2501/Documents/Codex/2026-05-22/drive/실물원고_레퍼/02_작가별/인기영/식사하고 가세요!_인기영_합본.txt	d85ba55bdcdb6e85c04416f9394149840ab439dff7397541356e9309819e6eec	Board 055 L11006-11198; 081 L16578-16806; 123 L24833-25041; 175 L35654-35855	repeat_engine	요리-업적-식당-동료-더 큰 지역으로 이어지는 게임형 성장 루프를 세운다	메뉴명이 표제 역할을 하고 시스템 메시지가 다음 회차 압력을 만든다	퀘스트와 감동 사연의 기본 구조가 장기화하면 익숙해질 수 있다
P3	식사하고 가세요!	인기영	/Users/a2501/Documents/Codex/2026-05-22/drive/실물원고_레퍼/02_작가별/인기영/식사하고 가세요!_인기영_합본.txt	d85ba55bdcdb6e85c04416f9394149840ab439dff7397541356e9309819e6eec	Board 220 L45332-45505; 293 L60445-60644; 400 L83324-83584; 500 L103970-104236	midseries	요리대회, 현실 보상, 지역 확장으로 음식 능력의 사회적 효용을 넓힌다	밝은 환대와 즉시 만족형 조리 설명이 낙관적 공동체 분위기를 고정한다	전쟁과 랭커전이 커질수록 최초의 감각 상실 훅이 희석될 수 있다
P3	식사하고 가세요!	인기영	/Users/a2501/Documents/Codex/2026-05-22/drive/실물원고_레퍼/02_작가별/인기영/식사하고 가세요!_인기영_합본.txt	d85ba55bdcdb6e85c04416f9394149840ab439dff7397541356e9309819e6eec	Board 600 L123988-124206; 623 L128661-128902; 638-639 L131833-132214; 665 L137774-138024; 667 L138231-138487	late_or_close	최종 갈등과 과거 회수를 음식 권유와 주인공의 방식으로 묶어 환대의 테마를 종결한다	되풀이되는 식사 권유가 용서·관계 재개의 감정적 표지가 된다	장기 전투 스케일에서는 음식이 해결 방식보다 장식이 되지 않게 점검이 필요하다
C1	공감의 요리사	진시월	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/공감의 요리사_진시월_합본.txt	f182ef11c875443ef43b2bc906cd326de2a7af732aba8132efe1353f791a2044	프롤로그 L4-73; 1장 고국으로 L74-473; 4장 메뉴 선정 L1353-1724	opening	공감각적 미각과 외식업 문제를 연결해 음식이 의뢰 해결의 원인이 되게 한다	맛을 색·향·질감의 분석 언어로 풀어 기술적 감각이 강하다	주인공의 압도적 권위가 주변 인물 선택을 대신할 위험이 있다
C1	공감의 요리사	진시월	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/공감의 요리사_진시월_합본.txt	f182ef11c875443ef43b2bc906cd326de2a7af732aba8132efe1353f791a2044	6장 대응 전략 L2277-2669; 9장 한발 앞으로 L3464-3947; 4장 밀양 3대 돼지국밥 L5137-5544	first_payoff	메뉴 선정과 맛 복원이 점포 생존 및 가족 기억의 첫 결산으로 작동한다	시식-조리 원리-반응의 절차가 명료하고 조리 해설이 길다	해설이 길어지면 감정 장면을 분석으로 대체할 수 있다
C1	공감의 요리사	진시월	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/공감의 요리사_진시월_합본.txt	f182ef11c875443ef43b2bc906cd326de2a7af732aba8132efe1353f791a2044	9장 맛의 방주 L7180-7646; 4장 한국으로 L9019-9374; 8장 미스터리 쿡왕 결승전 L10565-10997	repeat_engine	의뢰-시식-조리-관계 변화-사업 후속효과의 음식 엔진을 대결에도 유지한다	기술적 설명과 판정 장면이 결합해 전문성의 쾌감을 만든다	대회와 방송이 길어지면 개별 손님의 감정 밀도가 줄 수 있다
C1	공감의 요리사	진시월	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/공감의 요리사_진시월_합본.txt	f182ef11c875443ef43b2bc906cd326de2a7af732aba8132efe1353f791a2044	5장 경계선으로 L13511-13985; 3장 의도치 않은 일들 L16643-17034; 4장 엄마의 맛 L20917-21389	midseries	라면 연구, 계약, 가족 맛 복원으로 기술과 관계의 결산을 병렬로 둔다	음식이 기억을 진단하고 사람 사이의 말을 다시 열게 한다	개별 사연이 모두 조리로 해소되면 해결 방식이 단조로워질 수 있다
C1	공감의 요리사	진시월	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/공감의 요리사_진시월_합본.txt	f182ef11c875443ef43b2bc906cd326de2a7af732aba8132efe1353f791a2044	8장 백반집 L22590-22994; 9장 월드 셰프 챔피언십 L26640-26948; 9장 피날레 L30235-30570	late_or_close	결말도 단일 메뉴와 테이크아웃 운영의 문제로 돌아와 음식 중심성을 지킨다	상권 디테일이 관계의 온도와 함께 남는다	대기업 위협과 로맨스의 병렬선은 음식 엔진을 흐릴 여지가 있다
C2	가리봉 마왕족발	디케이	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/가리봉 마왕족발_디케이_합본.txt	bb17a0f969d5759649f2cdf5cf94a8fa4feba202ed11b9bfe1d822bc2cf1890e	프롤로그 L1-65; 제1화 L66-277; 제2화 L278-469	opening	귀환자와 동네 족발집을 게이트 이권의 친근한 입구로 묶는다	가벼운 1인칭 구어체와 먹거리 농담이 위협을 빠르게 누른다	음식보다 액션 반전이 독자의 첫 동력이 될 수 있다
C2	가리봉 마왕족발	디케이	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/가리봉 마왕족발_디케이_합본.txt	bb17a0f969d5759649f2cdf5cf94a8fa4feba202ed11b9bfe1d822bc2cf1890e	제5화 L865-1079; 제10화 L1937-2122; 제22화 L4213-4450	first_payoff	동네 장사와 초자연 재료의 접점을 초반 보상으로 제시한다	짧은 조리와 강한 식감 단어가 개그와 휴식의 박자를 만든다	폭력적 해결과 포식 개그의 결속은 공감 중심 요리물에 옮기기 어렵다
C2	가리봉 마왕족발	디케이	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/가리봉 마왕족발_디케이_합본.txt	bb17a0f969d5759649f2cdf5cf94a8fa4feba202ed11b9bfe1d822bc2cf1890e	제40화 L7584-7737; 제60화 L10907-11109; 제80화 L14472-14631	repeat_engine	상권·이웃·몬스터 재료가 재방문 가능한 공동체 거점을 만든다	가족과 주민의 공동 식사가 소속감을 표시한다	관계 해결의 직접 원인이 보호와 응징이면 음식은 사후 보상으로 밀린다
C2	가리봉 마왕족발	디케이	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/가리봉 마왕족발_디케이_합본.txt	bb17a0f969d5759649f2cdf5cf94a8fa4feba202ed11b9bfe1d822bc2cf1890e	제100화 L17840-18047; 제120화 L21369-21540; 제140화 L24997-25175; 제160화 L28191-28339	midseries	게이트 재료와 지역 장사를 판타지 전쟁의 휴식·축제 장면으로 접속한다	위협을 일상 음식으로 번역하는 농담이 경쾌하다	100화 이후 음식이 주 엔진보다 보상 또는 개그로 후퇴한다
C2	가리봉 마왕족발	디케이	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/가리봉 마왕족발_디케이_합본.txt	bb17a0f969d5759649f2cdf5cf94a8fa4feba202ed11b9bfe1d822bc2cf1890e	제180화 L31372-31542; 제200화 L34656-34814; 제203화 L35151-35349	late_or_close	식당 귀환을 정서적 목적지로 남기지만 장기 갈등 결산은 판타지 전쟁이 담당한다	마지막 귀환이 동네 거점의 정서를 회수한다	음식물 약속을 지키려면 후반에도 음식 사건이 갈등 해결을 실제로 움직여야 한다
