system	repo_root	relative_path	material_family	bytes	sha256	git_head	git_state	authority_class	reuse_scope	modern_finance_contamination	source_rights_status	v3_overlap	notes
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/modern_fantasy_episode_value_architecture_20260712.md	_synthesis	28342	04ec3db21f7c6831f13f72c88e30636dca26de24ddfde32e3290401ea0e74353	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	clear_pointer	none	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/reference_dna_synthesis_3author_20260615.md	_synthesis	8654	c6f27a89aacbdc0f07323c8ecd9f68fa34d58738fad6a6f3dcc2e088eefb9c2a	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	unclear	none	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/rendering_axis_architecture_20260614.md	_synthesis	8143	74a5cd72087e890963cdf8db1a031b0fb16f76ac1db556d1a53e9998c70ffe1b	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	unclear	none	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/doksik_ep01-05.md	_synthesis	3771	eea39a6f9a927b43289914323acd611c919c16d8900cc066c3b95fab5ab657b2	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	clear_pointer	name:block/evidence/seooh/doksik_ep01-05.md,character/evidence/seooh/doksik_ep01-05.md,esm/evidence/seooh/doksik_ep01-05.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/doksik_ep08-14.md	_synthesis	2232	d9e0efef27184fd02073b187c56aba9dc355e5f30f6d84177d5ff5c76684833f	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	unclear	name:block/evidence/seooh/doksik_ep08-14.md,character/evidence/seooh/doksik_ep08-14.md,esm/evidence/seooh/doksik_ep08-14.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/doksik_ep15-21.md	_synthesis	5111	fbaa48a0ecee5c1d03b9546fb222136cb683ff1d822d15a900af28c71fd33f62	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	clear_pointer	name:block/evidence/seooh/doksik_ep15-21.md,character/evidence/seooh/doksik_ep15-21.md,esm/evidence/seooh/doksik_ep15-21.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/doksik_ep22-50.md	_synthesis	4042	a7048f4ac9ffc91beb8e54cf304aca8c4225fb2a52d492a11e4c4325c789fe07	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	unclear	name:block/evidence/seooh/doksik_ep22-50.md,character/evidence/seooh/doksik_ep22-50.md,esm/evidence/seooh/doksik_ep22-50.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/doksik_ep78-86_imf_payoff.md	_synthesis	9335	a1303d4263ade951aa51e19adaa4c98baee2c287556ce10d0fff7e42b74f6514	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	unclear	name:block/evidence/seooh/doksik_ep78-86_imf_payoff.md,character/evidence/seooh/doksik_ep78-86_imf_payoff.md,esm/evidence/seooh/doksik_ep78-86_imf_payoff.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/mabeop_ep01-05.md	_synthesis	2702	a2f02a611008c08c8331a3c9a9dd2708651dbd1e45da766c22db93d2d52e44a5	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	unclear	name:block/evidence/seooh/mabeop_ep01-05.md,character/evidence/seooh/mabeop_ep01-05.md,esm/evidence/seooh/mabeop_ep01-05.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/mabeop_ep06-14.md	_synthesis	3979	b8b7601ea960fefc226e743351d66a06e6fda0199f0d83927a1c31f0002c1d11	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	unclear	name:block/evidence/seooh/mabeop_ep06-14.md,character/evidence/seooh/mabeop_ep06-14.md,esm/evidence/seooh/mabeop_ep06-14.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/mabeop_ep15-21.md	_synthesis	5053	5b9989bee1b681a6636ee4ee2cb5f183f9a2b8aec82d868ecc7c0529a1437f33	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	unclear	name:block/evidence/seooh/mabeop_ep15-21.md,character/evidence/seooh/mabeop_ep15-21.md,esm/evidence/seooh/mabeop_ep15-21.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/mabeop_ep22-50.md	_synthesis	4025	ed3132219ad8e7a52cbaafa377ff8a7fa013f0b0e3d01a620f5e67ad30a4e9a7	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	unclear	name:block/evidence/seooh/mabeop_ep22-50.md,character/evidence/seooh/mabeop_ep22-50.md,esm/evidence/seooh/mabeop_ep22-50.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/yeonbong_ep01-05.md	_synthesis	3216	e5425380f2d40fa4ed999ff3da0681827dc32c841d2a1caccf76238d84be209e	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	unclear	name:block/evidence/seooh/yeonbong_ep01-05.md,character/evidence/seooh/yeonbong_ep01-05.md,esm/evidence/seooh/yeonbong_ep01-05.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/yeonbong_ep06-14.md	_synthesis	5879	e103fe541615db3829e1eff2ae7028d73d7a61a2c00cdffaab99a5d742741277	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	unclear	name:block/evidence/seooh/yeonbong_ep06-14.md,character/evidence/seooh/yeonbong_ep06-14.md,esm/evidence/seooh/yeonbong_ep06-14.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/yeonbong_ep15-21.md	_synthesis	5959	9d0da9d2252915b18240a07982d7509fd42078829aabc554133b01e770d74914	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	unclear	name:block/evidence/seooh/yeonbong_ep15-21.md,character/evidence/seooh/yeonbong_ep15-21.md,esm/evidence/seooh/yeonbong_ep15-21.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/seooh/yeonbong_ep22-50.md	_synthesis	4714	cc491d527cc321b44c80b30d207369e3bd083414d329a56825cfaccfda66abf1	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	unclear	name:block/evidence/seooh/yeonbong_ep22-50.md,character/evidence/seooh/yeonbong_ep22-50.md,esm/evidence/seooh/yeonbong_ep22-50.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/.gitkeep	block	1	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	unclear	sha256:block/.gitkeep,comparisons/.gitkeep,esm/.gitkeep,source_maps/.gitkeep; relative_path:block/.gitkeep	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/README.md	block	891	4e774cbc11cc0a9f6ab5f74179988aef642185df8cdd5cf79dc3728c12c73f79	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	unclear	sha256:block/README.md; relative_path:block/README.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/block_bank.md	block	32201	5084429ce0d37c602514f3140177285cda7b78d20ee30636a7e04067e3574404	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:block/block_bank.md; relative_path:block/block_bank.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/kdh/geumsujeo_saenghwal.md	block	4009	75c7186c84abc13fcfb36d59cf1a17d750a1b5876477683a31fe2c7e05d67985	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:block/evidence/kdh/geumsujeo_saenghwal.md; relative_path:block/evidence/kdh/geumsujeo_saenghwal.md; name:character/evidence/kdh/geumsujeo_saenghwal.md,esm/evidence/kdh/geumsujeo_saenghwal.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/kdh/geumsujeo_tuja.md	block	6670	d053e778ecc329f2455654b18f335f71b609d8dbb00ab1b034e1dadd714d661b	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:block/evidence/kdh/geumsujeo_tuja.md; relative_path:block/evidence/kdh/geumsujeo_tuja.md; name:character/evidence/kdh/geumsujeo_tuja.md,esm/evidence/kdh/geumsujeo_tuja.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/kdh/seonggongsidae.md	block	4343	759ca01d16cda9ce1c046999fa73a91684d2860d6dd7422d09108e4221632a6d	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:block/evidence/kdh/seonggongsidae.md; relative_path:block/evidence/kdh/seonggongsidae.md; name:character/evidence/kdh/seonggongsidae.md,esm/evidence/kdh/seonggongsidae.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/doksik_ep01-05.md	block	1551	fb0d687605185b53d9fa52954eaa10af955e11da4ee3e8b76b5f47ef5fd7a31a	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:block/evidence/seooh/doksik_ep01-05.md; relative_path:block/evidence/seooh/doksik_ep01-05.md; name:character/evidence/seooh/doksik_ep01-05.md,esm/evidence/seooh/doksik_ep01-05.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/doksik_ep08-14.md	block	1109	429fa53c189d5942a90fbb03172a3f43d9d97ae66e5f1e27ab054bffc619027b	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:block/evidence/seooh/doksik_ep08-14.md; relative_path:block/evidence/seooh/doksik_ep08-14.md; name:character/evidence/seooh/doksik_ep08-14.md,esm/evidence/seooh/doksik_ep08-14.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/doksik_ep15-21.md	block	1409	467db4cbd09f2341caf6c190cf3a3d71fa187c2551002096e968e50e0b4b43f5	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:block/evidence/seooh/doksik_ep15-21.md; relative_path:block/evidence/seooh/doksik_ep15-21.md; name:character/evidence/seooh/doksik_ep15-21.md,esm/evidence/seooh/doksik_ep15-21.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/doksik_ep22-50.md	block	1457	1fa0bb83aa21ce24fb591b46a702d79f0ae3fc433571d4eaff09447756fdfe59	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:block/evidence/seooh/doksik_ep22-50.md; relative_path:block/evidence/seooh/doksik_ep22-50.md; name:character/evidence/seooh/doksik_ep22-50.md,esm/evidence/seooh/doksik_ep22-50.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/doksik_ep78-86_imf_payoff.md	block	1847	fdc5debad6c36db8b376d0e48f3559d1f7901dc2671ccfd43aa31ec86a715c33	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:block/evidence/seooh/doksik_ep78-86_imf_payoff.md; relative_path:block/evidence/seooh/doksik_ep78-86_imf_payoff.md; name:character/evidence/seooh/doksik_ep78-86_imf_payoff.md,esm/evidence/seooh/doksik_ep78-86_imf_payoff.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/mabeop_ep01-05.md	block	1878	d321ba953649effe5d1c7a124eec9461e865f1b51013801fd7e9a0dbedf1734a	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:block/evidence/seooh/mabeop_ep01-05.md; relative_path:block/evidence/seooh/mabeop_ep01-05.md; name:character/evidence/seooh/mabeop_ep01-05.md,esm/evidence/seooh/mabeop_ep01-05.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/mabeop_ep06-14.md	block	2312	944c4d32118d3c80901fa43d4926015774d8bbe69b44fab7084e73d37b30f319	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:block/evidence/seooh/mabeop_ep06-14.md; relative_path:block/evidence/seooh/mabeop_ep06-14.md; name:character/evidence/seooh/mabeop_ep06-14.md,esm/evidence/seooh/mabeop_ep06-14.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/mabeop_ep15-21.md	block	1987	0caaad340299a830fa8eb469ec42c1d5d5f4290eb371b7ac8de8c922e985bba8	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:block/evidence/seooh/mabeop_ep15-21.md; relative_path:block/evidence/seooh/mabeop_ep15-21.md; name:character/evidence/seooh/mabeop_ep15-21.md,esm/evidence/seooh/mabeop_ep15-21.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/mabeop_ep22-50.md	block	2248	d1d07e544041c426b45375e6d908fe80d31af7b51c7416870ee3644e952ba45a	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:block/evidence/seooh/mabeop_ep22-50.md; relative_path:block/evidence/seooh/mabeop_ep22-50.md; name:character/evidence/seooh/mabeop_ep22-50.md,esm/evidence/seooh/mabeop_ep22-50.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/yeonbong_ep01-05.md	block	1715	9957a8374ada5a7d58f7a5d7496354d4a37ef54ee23a90a9d627e98a042e4825	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:block/evidence/seooh/yeonbong_ep01-05.md; relative_path:block/evidence/seooh/yeonbong_ep01-05.md; name:character/evidence/seooh/yeonbong_ep01-05.md,esm/evidence/seooh/yeonbong_ep01-05.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/yeonbong_ep06-14.md	block	3007	68441c4a2377afe00b5c4b19cc43a03660bbd8257d917927311bdbf64f21f3eb	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:block/evidence/seooh/yeonbong_ep06-14.md; relative_path:block/evidence/seooh/yeonbong_ep06-14.md; name:character/evidence/seooh/yeonbong_ep06-14.md,esm/evidence/seooh/yeonbong_ep06-14.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/yeonbong_ep15-21.md	block	2585	91bca5f3e49defaf46323146a3610a48b2e8dbe05ea1dc4f2c59ddba353d58f4	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:block/evidence/seooh/yeonbong_ep15-21.md; relative_path:block/evidence/seooh/yeonbong_ep15-21.md; name:character/evidence/seooh/yeonbong_ep15-21.md,esm/evidence/seooh/yeonbong_ep15-21.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	block/evidence/seooh/yeonbong_ep22-50.md	block	1884	f72efb952b20a103ab73fb1b639769d52b506f19ef25f6f384a2751579a4152b	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:block/evidence/seooh/yeonbong_ep22-50.md; relative_path:block/evidence/seooh/yeonbong_ep22-50.md; name:character/evidence/seooh/yeonbong_ep22-50.md,esm/evidence/seooh/yeonbong_ep22-50.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/README.md	character	1488	e4a2c1b3f7e95d7923b1cbb1f47b0ca4e19a52e27cb3d76d5ee059b623ca0ed8	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	unclear	sha256:character/README.md; relative_path:character/README.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/character_bank.md	character	42427	e6037a30c58a0d38b693568be2539469209101cba94b38d1fb4003b2507bbccd	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:character/character_bank.md; relative_path:character/character_bank.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/evidence/kdh/geumsujeo_saenghwal.md	character	4607	0fc463e3d21c64dcd09adcdcb7b9a9f2a4d4308f6562457f8b602d669cbe1bf2	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:character/evidence/kdh/geumsujeo_saenghwal.md; relative_path:character/evidence/kdh/geumsujeo_saenghwal.md; name:block/evidence/kdh/geumsujeo_saenghwal.md,esm/evidence/kdh/geumsujeo_saenghwal.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/evidence/kdh/geumsujeo_tuja.md	character	6782	1927c7d74049ccb65abea3dd0439043d607c7c5e1af69fe14ebf4d29252d68d1	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:character/evidence/kdh/geumsujeo_tuja.md; relative_path:character/evidence/kdh/geumsujeo_tuja.md; name:block/evidence/kdh/geumsujeo_tuja.md,esm/evidence/kdh/geumsujeo_tuja.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/evidence/kdh/seonggongsidae.md	character	5869	c6df38aaa275b253cc51c3e6f1392d925b1b7d2202e65e9585591dcb9f293d22	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:character/evidence/kdh/seonggongsidae.md; relative_path:character/evidence/kdh/seonggongsidae.md; name:block/evidence/kdh/seonggongsidae.md,esm/evidence/kdh/seonggongsidae.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/evidence/seooh/doksik_ep01-05.md	character	2758	cff17e6f7c8b526875abe99318c9eb1110ac95dd4e3c88f953025ecd5d0a6540	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:character/evidence/seooh/doksik_ep01-05.md; relative_path:character/evidence/seooh/doksik_ep01-05.md; name:block/evidence/seooh/doksik_ep01-05.md,esm/evidence/seooh/doksik_ep01-05.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/evidence/seooh/doksik_ep08-14.md	character	1759	0f83265d4ab9444011204a9fa21a4f35e6c545c35df1128e25f674de7858bf3e	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:character/evidence/seooh/doksik_ep08-14.md; relative_path:character/evidence/seooh/doksik_ep08-14.md; name:block/evidence/seooh/doksik_ep08-14.md,esm/evidence/seooh/doksik_ep08-14.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/evidence/seooh/doksik_ep15-21.md	character	2599	bcc220d20f6b97f4138677043a9319e9e9e565b17c57e35de2044bc26efe0495	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:character/evidence/seooh/doksik_ep15-21.md; relative_path:character/evidence/seooh/doksik_ep15-21.md; name:block/evidence/seooh/doksik_ep15-21.md,esm/evidence/seooh/doksik_ep15-21.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/evidence/seooh/doksik_ep22-50.md	character	1940	145779ec4f1bf869571eef42d447f57c774523f37b079d31b90284866acee049	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:character/evidence/seooh/doksik_ep22-50.md; relative_path:character/evidence/seooh/doksik_ep22-50.md; name:block/evidence/seooh/doksik_ep22-50.md,esm/evidence/seooh/doksik_ep22-50.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	character/evidence/seooh/doksik_ep78-86_imf_payoff.md	character	2495	cac86ad50eac4626607002e3f163b2f2e67a82ed38aa6fac9e57e294ccff72e1	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	yes	clear_pointer	sha256:character/evidence/seooh/doksik_ep78-86_imf_payoff.md; relative_path:character/evidence/seooh/doksik_ep78-86_imf_payoff.md; name:block/evidence/seooh/doksik_ep78-86_imf_payoff.md,esm/evidence/seooh/doksik_ep78-86_imf_payoff.md	v3 duplicate candidate; do not migrate in Phase 0
